NodeID,X,Y,Z,NormalX,NormalY,NormalZ,NodalArea,Pressure_Reconstructed,Pressure_RelativeToMax,IsActivePressureNode,IsFixedNode
35,10.312744140639,11.82388646346,-1.2125136469771,0.0954864905810273,0.992130257759336,-0.0809930969584033,2.06268039551118,0,0,0,1
36,10.31274414064,11.82379366388,1.280831410364,0.100062985079909,0.99192768931324,0.0778900390974048,2.14519220890576,0,0,0,1
37,10.312744140652,11.3588557941,3.727178812075,0.0788002955389178,0.937350192568121,0.339359882595875,2.06615430853351,0,0,0,1
38,10.31274413718,10.19808578538,5.924500170208,0.0731713745978397,0.805013900534265,0.588726226599488,2.24676019247569,0,0,0,1
39,10.312742427756,8.445252473438,7.69178923014,0.0190455589873352,0.603169790092677,0.79738539678277,1.91824331511491,0,0,0,1
40,10.312661965828,6.308417996532,8.969615205704,0.0245206347455845,0.392664723257867,0.919354748495104,2.23557681137864,0,0,0,1
41,10.312743010296,3.924623444604,9.690834721805,-0.0117594685603832,0.160517478775589,0.986962944545896,1.95317307103565,0,0,0,1
42,10.312745417721,1.441102301229,9.895929285108,-0.00493319859118831,-0.0176262498767604,0.999832475401225,2.44713182345471,0,0,0,1
43,10.312755623951,-1.0346907618356,9.614869206794,0.00393513145775427,-0.219529120707846,0.975598011427683,1.82222100454877,0,0,0,1
44,14.059468711656,-1.3213382053299,-9.3228367104515,0.0616705552503091,-0.359197092603266,-0.931221880799887,4.82260031130188,0,0,0,0
45,14.055859827227,-1.3082343524453,9.396771506921,0.06199557305639,-0.360543510494657,0.930679819251282,4.78003702673387,0,0,0,0
46,12.438589825994,2.454488555049,9.862116025511,0.0100265018887188,0.0531067033686556,0.998538505675765,4.64039799141351,0,0,0,0
47,18.851618670862,-1.7551139607917,-8.9401954001253,0.0146232212466463,-0.520499713141239,-0.853736616305204,4.44800144005425,0,0,0,0
48,21.422384684284,-1.5261818649078,-8.9113734708596,0.131797097783684,-0.354279158222976,-0.9258054887851,5.34264989114011,0,0,0,0
49,18.758591711762,-1.6180512367974,9.08544869941,0.0137126887816736,-0.489384371477264,0.871960377035666,4.93755769860314,0,0,0,0
50,21.372984584044,-1.6879999910574,8.917118887271,0.117165492302901,-0.392368598904276,0.912315258015185,4.98205560033036,0,0,0,0
