NodeID,Component,Force_From_KU,Force_From_ReconstructedPressure,Force_Error
152,3,2.99987006444069e-07,0,-2.99987006444069e-07
153,1,-1.32945979407564e-07,-0.111871384462949,-0.111871251516969
153,2,8.6713690130788e-07,-0.140132466881215,-0.140133334018117
153,3,-1.2398985750452e-06,-0.054290996678311,-0.054289756779736
154,1,-2.42676650312872,-2.42101641847093,0.0057500846577887
154,2,-5.50493719150699,-5.34381465155922,0.161122539947764
154,3,-2.97576141822436,-3.11168796021789,-0.135926541993531
155,1,-5.45504493104643e-08,0,5.45504493104643e-08
155,2,-2.78796447143737e-08,0,2.78796447143737e-08
155,3,-4.27046123463448e-09,0,4.27046123463448e-09
156,1,6.97337138429177e-07,0,-6.97337138429177e-07
156,2,-2.16660958299308e-07,0,2.16660958299308e-07
156,3,-7.95921754215972e-07,0,7.95921754215972e-07
157,1,-0.823515528930063,-0.718723041359097,0.104792487570966
157,2,-2.29700103536392,-2.11553693661255,0.181464098751372
157,3,0.546852227384543,0.596472735451543,0.0496205080670004
158,1,-5.43785855058095e-08,0,5.43785855058095e-08
158,2,2.19163375221425e-07,0,-2.19163375221425e-07
158,3,-2.43120357734661e-08,0,2.43120357734661e-08
159,1,-1.15291862375598e-07,-0.128456613160252,-0.12845649786839
159,2,-1.94664199344805e-06,-0.254242765464279,-0.254240818822285
159,3,-2.301097060825e-06,0.173336455127818,0.173338756224878
160,1,8.5831253249756e-08,0,-8.5831253249756e-08
160,2,7.18709030740616e-07,0,-7.18709030740616e-07
160,3,1.40041902595145e-07,0,-1.40041902595145e-07
161,1,-1.25428734665256e-06,0,1.25428734665256e-06
161,2,-3.19663026702999e-06,0,3.19663026702999e-06
161,3,1.61044602597915e-06,0,-1.61044602597915e-06
162,1,-6.12808493014098e-06,0,6.12808493014098e-06
162,2,-2.87988733606998e-06,0,2.87988733606998e-06
162,3,-4.04166910238698e-06,0,4.04166910238698e-06
163,1,-6.57736782039287e-07,0,6.57736782039287e-07
163,2,-7.86465289809302e-06,0,7.86465289809302e-06
163,3,-8.29260110471464e-06,0,8.29260110471464e-06
